Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Blood Diamond,57377916.0,171377916.0,62588936.0,100000000.0,Dec 08 2006,R,143.0,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62.0,8.0,118925.0
Bee Movie,126631277.0,287594577.0,79628881.0,150000000.0,Nov 02 2007,PG,90.0,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51.0,6.3,30575.0
Beowulf,82195215.0,194995215.0,35961910.0,150000000.0,Nov 16 2007,PG-13,115.0,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70.0,6.6,62513.0
Black Hawk Down,108638745.0,173638745.0,970318.0,95000000.0,Dec 28 2001,R,144.0,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76.0,7.7,98653.0
Bobby,11242801.0,20597806.0,12345494.0,14000000.0,Nov 17 2006,R,120.0,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46.0,7.1,23262.0
The Bourne Ultimatum,227471070.0,442161562.0,123314592.0,130000000.0,Aug 03 2007,PG-13,114.0,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93.0,8.2,146025.0
Brokeback Mountain,83043761.0,180343761.0,31338042.0,13900000.0,Dec 09 2005,R,134.0,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87.0,7.8,115951.0
Inglourious Basterds,120831050.0,320389438.0,58414604.0,70000000.0,Aug 21 2009,R,152.0,Weinstein Co.,Original Screenplay,Action,Historical Fiction,Quentin Tarantino,88.0,8.4,178742.0
City of Ember,7871693.0,11817059.0,6086988.0,38000000.0,Oct 10 2008,PG,94.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Gil Kenan,53.0,6.4,14905.0
Chicken Little,135386665.0,314432738.0,142108745.0,60000000.0,Nov 04 2005,G,80.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36.0,5.8,17415.0
Cheaper by the Dozen 2,82571173.0,135015330.0,26537982.0,60000000.0,Dec 21 2005,PG,94.0,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7.0,5.2,11858.0
Children of Men,35552383.0,69450202.0,25345271.0,76000000.0,Dec 25 2006,R,114.0,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93.0,8.1,158125.0
Charlotte's Web,82985708.0,143985708.0,83571732.0,82500000.0,Dec 15 2006,G,98.0,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78.0,6.7,8028.0
Code Name: The Cleaner,8135024.0,8135024.0,4492233.0,20000000.0,Jan 05 2007,PG-13,91.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4.0,4.0,5277.0
The Covenant,23364784.0,38164784.0,26360430.0,20000000.0,Sep 08 2006,PG-13,95.0,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3.0,4.8,17736.0
Couples Retreat,109205660.0,172450423.0,34715888.0,60000000.0,Oct 09 2009,PG-13,113.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12.0,5.5,18332.0
Cloudy with a Chance of Meatballs,124870275.0,139525862.0,42574228.0,100000000.0,Sep 18 2009,PG,90.0,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86.0,7.2,19913.0
The Black Dahlia,22672813.0,46672813.0,12350794.0,60000000.0,Sep 15 2006,R,121.0,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33.0,5.6,35210.0
The Great Debaters,30226144.0,30226144.0,24133037.0,15000000.0,Dec 25 2007,PG-13,130.0,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79.0,7.6,14530.0
Live Free or Die Hard,134529403.0,383531464.0,100774964.0,110000000.0,Jun 27 2007,PG-13,128.0,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82.0,7.5,130559.0
Disaster Movie,14190901.0,34690901.0,9859088.0,20000000.0,Aug 29 2008,PG-13,88.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,1.7000000000000002,34928.0
District 9,115646235.0,206552113.0,30058184.0,30000000.0,Aug 14 2009,R,111.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91.0,8.3,151742.0
Domino,10169202.0,17759202.0,15573570.0,50000000.0,Oct 14 2005,R,133.0,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19.0,5.9,32560.0
The Departed,133311000.0,290539042.0,140689412.0,90000000.0,Oct 06 2006,R,152.0,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93.0,8.5,264148.0
Death Race,36316032.0,72516819.0,24667330.0,65000000.0,Aug 22 2008,R,105.0,Universal,Remake,Action,Science Fiction,Paul Anderson,41.0,6.6,40611.0
Drag Me To Hell,42100625.0,85724728.0,13123388.0,30000000.0,May 29 2009,PG-13,99.0,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92.0,7.1,51343.0
Dreamgirls,103365956.0,154965956.0,53674555.0,75000000.0,Dec 15 2006,PG-13,130.0,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78.0,6.6,28016.0
Disturbia,80209692.0,117573043.0,34508128.0,20000000.0,Apr 13 2007,PG-13,104.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68.0,7.0,72231.0
Eagle Eye,101440743.0,178066569.0,38374936.0,80000000.0,Sep 26 2008,PG-13,117.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27.0,6.6,52336.0
Enchanted,127706877.0,340384141.0,87698079.0,85000000.0,Nov 21 2007,PG,108.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92.0,7.5,55697.0
Epic Movie,39739367.0,86858578.0,16839362.0,20000000.0,Jan 26 2007,PG-13,86.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,2.2,48975.0
Elizabethtown,26850426.0,50719373.0,15854391.0,54000000.0,Oct 14 2005,PG-13,133.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28.0,6.4,31775.0
Fantastic Four,154696080.0,330579719.0,4702358.0,87500000.0,Jul 08 2005,PG-13,123.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27.0,5.7,71675.0
Flushed Away,64665672.0,177665672.0,71025931.0,149000000.0,Nov 03 2006,PG,85.0,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72.0,7.0,21334.0
Flyboys,13090630.0,14816379.0,23631077.0,60000000.0,Sep 22 2006,PG-13,139.0,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33.0,6.5,13934.0
The Fountain,10144010.0,15461638.0,8752844.0,35000000.0,Nov 22 2006,PG-13,96.0,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51.0,7.4,72562.0
The Forbidden Kingdom,52075270.0,129075270.0,23318686.0,55000000.0,Apr 18 2008,PG-13,105.0,Lionsgate,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64.0,6.7,36548.0
Freedom Writers,36605602.0,43090741.0,20532539.0,21000000.0,Jan 05 2007,PG-13,122.0,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69.0,7.5,18065.0
Fireproof,33451479.0,33451479.0,31898934.0,500000.0,Sep 26 2008,PG,122.0,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40.0,5.6,5498.0
Frost/Nixon,18622031.0,28144586.0,6677601.0,29000000.0,Dec 05 2008,R,122.0,Universal,Based on Play,Drama,Dramatization,Ron Howard,92.0,7.9,36366.0
Georgia Rule,18882880.0,20819601.0,19382312.0,20000000.0,May 11 2007,R,111.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17.0,5.8,10902.0
Gridiron Gang,38432823.0,41480851.0,34066576.0,30000000.0,Sep 15 2006,PG-13,126.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41.0,6.8,12400.0
Ghost Rider,115802596.0,237702596.0,103730683.0,120000000.0,Feb 16 2007,PG-13,110.0,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26.0,5.2,63235.0
Ghost Town,13252641.0,26612350.0,7574314.0,20000000.0,Sep 19 2008,PG-13,102.0,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85.0,4.7,310.0
The Game Plan,90648202.0,147914546.0,50113315.0,22000000.0,Sep 22 2007,PG,110.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Fickman,27.0,6.3,14984.0
Wallace & Gromit: The Curse of the Were-Rabbit,56068547.0,185724838.0,35069986.0,30000000.0,Oct 05 2005,G,85.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,95.0,7.9,38158.0
Hairspray,118823091.0,202823091.0,104104829.0,75000000.0,Jul 20 2007,PG,117.0,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91.0,7.2,41511.0
The Happening,64506874.0,163403799.0,21432877.0,60000000.0,Jun 13 2008,R,89.0,20th Century Fox,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,18.0,5.2,72259.0
The House Bunny,48237389.0,70237389.0,15442818.0,25000000.0,Aug 22 2008,PG-13,98.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Fred Wolf,39.0,5.5,18964.0
Hannibal Rising,27669725.0,80583311.0,23365803.0,50000000.0,Feb 09 2007,R,121.0,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15.0,6.0,28690.0
The Hangover,277322503.0,465132119.0,165916727.0,35000000.0,Jun 05 2009,R,99.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78.0,7.9,127634.0
The Holiday,63280000.0,205190324.0,71449071.0,85000000.0,Dec 08 2006,PG-13,131.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47.0,6.9,48215.0
Harry Potter and the Goblet of Fire,290013036.0,896013036.0,215701005.0,150000000.0,Nov 18 2005,PG-13,157.0,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88.0,7.6,111946.0
Harry Potter and the Order of the Phoenix,292004738.0,938468864.0,220867077.0,150000000.0,Jul 11 2007,PG-13,138.0,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78.0,7.4,104074.0
Harry Potter and the Half-Blood Prince,301959197.0,937499905.0,103574938.0,250000000.0,Jul 15 2009,PG,153.0,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83.0,7.3,73720.0
Happy Feet,198000317.0,385000317.0,203263968.0,85000000.0,Nov 17 2006,PG,108.0,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74.0,6.7,42369.0
Hot Fuzz,23618786.0,79197493.0,33391776.0,16000000.0,Apr 20 2007,R,121.0,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91.0,8.0,129779.0
The Incredible Hulk,134806913.0,263349257.0,58503066.0,137500000.0,Jun 13 2008,PG-13,112.0,Universal,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66.0,7.1,82419.0
The Imaginarium of Doctor Parnassus,7689458.0,58692979.0,5387124.0,30000000.0,Dec 25 2009,PG-13,122.0,Sony Pictures Classics,Original Screenplay,Adventure,Fantasy,Terry Gilliam,64.0,7.1,33374.0
Inkheart,17303424.0,58051454.0,8342886.0,60000000.0,Jan 23 2009,PG,105.0,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Iain Softley,40.0,6.1,14157.0
I Now Pronounce You Chuck and Larry,119725280.0,185708462.0,69334335.0,85000000.0,Jul 20 2007,PG-13,115.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14.0,6.1,46347.0
Iron Man,318604126.0,582604126.0,169251757.0,186000000.0,May 02 2008,PG-13,126.0,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94.0,7.9,174040.0
I Think I Love My Wife,12559771.0,13205411.0,13566229.0,14000000.0,Mar 16 2007,R,94.0,Fox Searchlight,Remake,Romantic Comedy,Contemporary Fiction,Chris Rock,19.0,5.5,8643.0
Jarhead,62647540.0,96947540.0,52209103.0,72000000.0,Nov 04 2005,R,115.0,Universal,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61.0,7.2,60650.0
Casino Royale,167365000.0,596365000.0,79681613.0,102000000.0,Nov 17 2006,PG-13,144.0,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94.0,8.0,172936.0
Juno,143495265.0,230327671.0,57612374.0,7000000.0,Dec 05 2007,PG-13,95.0,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93.0,7.9,149855.0
King Kong,218080025.0,550517357.0,140752353.0,207000000.0,Dec 14 2005,PG-13,187.0,Universal,Remake,Adventure,Fantasy,Peter Jackson,83.0,7.6,132720.0
Knocked Up,148761765.0,218994109.0,117601397.0,27500000.0,Jun 01 2007,R,132.0,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90.0,7.5,111192.0
The Kingdom,47467250.0,86509602.0,34065220.0,72500000.0,Sep 28 2007,R,110.0,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,51.0,7.1,47200.0
Knowing,79957634.0,187858642.0,23450931.0,50000000.0,Mar 20 2009,PG-13,121.0,Summit Entertainment,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alex Proyas,32.0,6.4,58138.0
The Kite Runner,15800078.0,73222245.0,6563936.0,20000000.0,Dec 14 2007,PG-13,122.0,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Marc Forster,66.0,7.8,26816.0
Law Abiding Citizen,73357727.0,113190972.0,20038881.0,53000000.0,Oct 16 2009,R,108.0,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,F. Gary Gray,25.0,7.2,45577.0
Lakeview Terrace,39263506.0,44263506.0,21455006.0,20000000.0,Sep 19 2008,PG-13,106.0,Sony/Screen Gems,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Neil LaBute,46.0,6.3,18547.0
Land of the Lost,49438370.0,69548641.0,18953806.0,100000000.0,Jun 05 2009,PG-13,101.0,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,26.0,5.3,16830.0
Little Children,5463019.0,14763019.0,3657245.0,14000000.0,Oct 06 2006,R,136.0,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,79.0,7.8,37162.0
I am Legend,256393010.0,585055701.0,129742540.0,150000000.0,Dec 14 2007,PG-13,100.0,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69.0,7.1,153631.0
Letters from Iwo Jima,13756082.0,68756082.0,13625847.0,13000000.0,Dec 20 2006,R,141.0,Warner Bros.,Based on Real Life Events,Drama,Historical Fiction,Clint Eastwood,91.0,8.1,56872.0
The Last King of Scotland,17606684.0,48363516.0,16836991.0,6000000.0,Sep 27 2006,R,121.0,Fox Searchlight,Based on Book/Short Story,Drama,Dramatization,Kevin MacDonald,87.0,7.8,54022.0
Lions for Lambs,14998070.0,63211088.0,9203604.0,35000000.0,Nov 09 2007,R,90.0,United Artists,Original Screenplay,Drama,Contemporary Fiction,Robert Redford,27.0,6.2,22264.0
License to Wed,43799818.0,70799818.0,22782913.0,35000000.0,Jul 03 2007,PG,90.0,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ken Kwapis,7.0,5.1,15422.0
Lucky You,5755286.0,6521829.0,853973.0,55000000.0,May 04 2007,PG-13,122.0,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28.0,5.9,9870.0
Paul Blart: Mall Cop,146336178.0,180449670.0,53105030.0,26000000.0,Jan 16 2009,PG,91.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35.0,5.3,23753.0
My Best Friend's Girl,19219250.0,34787111.0,18449619.0,20000000.0,Sep 19 2008,R,103.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,15.0,5.8,14617.0
Memoirs of a Geisha,57010853.0,161510853.0,32837435.0,85000000.0,Dec 09 2005,PG-13,145.0,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Rob Marshall,36.0,7.1,38695.0
The Men Who Stare at Goats,32428195.0,67348218.0,8155901.0,24000000.0,Nov 06 2009,R,93.0,Overture Films,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Grant Heslov,53.0,6.4,33763.0
Miss Potter,3005605.0,35025861.0,7821056.0,30000000.0,Dec 29 2006,PG,92.0,MGM,Based on Real Life Events,Drama,Dramatization,Chris Noonan,66.0,7.1,10236.0
A Mighty Heart,9176787.0,18932117.0,5455645.0,15000000.0,Jun 22 2007,R,100.0,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78.0,6.7,13881.0
The Mummy: Tomb of the Dragon Emperor,102491776.0,397912118.0,43147886.0,175000000.0,Aug 01 2008,PG-13,111.0,Universal,Remake,Adventure,Fantasy,Rob Cohen,13.0,5.1,41570.0
Night at the Museum,250863268.0,574480841.0,153389976.0,110000000.0,Dec 22 2006,PG,108.0,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43.0,6.4,67133.0
Miami Vice,63478838.0,163818556.0,37652030.0,135000000.0,Jul 28 2006,R,132.0,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47.0,6.0,51921.0
Monsters vs. Aliens,198351526.0,381687380.0,83851943.0,175000000.0,Mar 27 2009,PG,95.0,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72.0,6.8,26582.0
My Sister's Keeper,49200230.0,89053995.0,21467223.0,27500000.0,Jun 26 2009,PG-13,108.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,48.0,7.4,13839.0
The Nativity Story,37629831.0,46432264.0,26142500.0,35000000.0,Dec 01 2006,PG,102.0,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37.0,6.6,4701.0
Nick and Norah's Infinite Playlist,31487293.0,31487293.0,10327750.0,10000000.0,Oct 03 2008,PG-13,90.0,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Sollett,73.0,6.8,24021.0
The Number 23,35193167.0,76593167.0,27576238.0,32000000.0,Feb 23 2007,R,95.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,8.0,6.2,59174.0
Into the Wild,18354356.0,53813837.0,15272435.0,20000000.0,Sep 21 2007,R,147.0,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,82.0,8.2,99464.0
Ocean's Thirteen,117144465.0,311744465.0,48258805.0,85000000.0,Jun 08 2007,PG-13,122.0,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70.0,6.9,76884.0
One Night with the King,13395961.0,13395961.0,20554010.0,20000000.0,Oct 13 2006,PG,124.0,Rocky Mountain Pictures,Based on Book/Short Story,Drama,Historical Fiction,Michael O. Sajbel,16.0,6.0,2993.0
The Passion of the Christ,370782930.0,611899420.0,618454.0,25000000.0,Feb 25 2004,R,127.0,Newmarket Films,Based on Book/Short Story,Drama,Dramatization,Mel Gibson,50.0,7.1,87326.0
Pirates of the Caribbean: Dead Man's Chest,423315812.0,1065659812.0,320830925.0,225000000.0,Jul 07 2006,PG-13,151.0,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54.0,7.3,150446.0
Pirates of the Caribbean: At World's End,309420425.0,960996492.0,296060575.0,300000000.0,May 25 2007,PG-13,167.0,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45.0,7.0,133241.0
Paranormal Activity,107918810.0,193770453.0,14051496.0,15000.0,Sep 25 2009,R,85.0,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82.0,6.7,53455.0
Perfume: The Story of a Murderer,2223293.0,132180323.0,7529604.0,63700000.0,Dec 27 2006,R,147.0,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58.0,7.5,51704.0
The Pursuit of Happyness,162586036.0,306086036.0,90857430.0,55000000.0,Dec 15 2006,PG-13,116.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66.0,7.8,77939.0
The Proposal,163958031.0,317358031.0,83691948.0,40000000.0,Jun 19 2009,PG-13,107.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Anne Fletcher,43.0,5.4,397.0
The Prestige,53089891.0,107896006.0,45394364.0,40000000.0,Oct 20 2006,PG-13,131.0,Walt Disney Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75.0,8.4,207322.0
The Queen,56441711.0,122840603.0,29161789.0,15000000.0,Sep 30 2006,PG-13,103.0,Miramax,Based on Real Life Events,Drama,Dramatization,Stephen Frears,97.0,7.6,34785.0
Ratatouille,206445654.0,620495432.0,189134287.0,150000000.0,Jun 29 2007,G,111.0,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96.0,8.1,131929.0
The Reader,34192652.0,106107610.0,12359754.0,33000000.0,Dec 10 2008,R,123.0,Weinstein Co.,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61.0,7.7,46984.0
The Reaping,25126214.0,62226214.0,19812272.0,40000000.0,Apr 05 2007,R,100.0,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8.0,5.6,19881.0
Reign Over Me,19661987.0,20081987.0,16021076.0,20000000.0,Mar 23 2007,R,128.0,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63.0,7.7,39234.0
Religulous,13011160.0,13136074.0,7486708.0,2500000.0,Oct 01 2008,R,101.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Larry Charles,69.0,7.8,23094.0
Resident Evil: Extinction,50648679.0,146162920.0,34217549.0,45000000.0,Sep 21 2007,R,95.0,Sony/Screen Gems,Based on Game,Action,Science Fiction,Russell Mulcahy,22.0,6.2,49502.0
Rachel Getting Married,12796277.0,13326280.0,6635346.0,12000000.0,Oct 03 2008,R,111.0,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86.0,6.9,20451.0
Rendition,9736045.0,20437142.0,6007008.0,27500000.0,Oct 19 2007,R,121.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46.0,6.9,23223.0
The Rocker,6409528.0,8767338.0,7970409.0,15000000.0,Aug 20 2008,PG-13,102.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40.0,6.3,11859.0
Righteous Kill,40081410.0,76781410.0,16209689.0,60000000.0,Sep 12 2008,R,100.0,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20.0,6.0,34641.0
Rush Hour 3,140125968.0,253025968.0,40854922.0,180000000.0,Aug 10 2007,PG-13,91.0,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19.0,6.0,39312.0
Saw II,87025093.0,152925093.0,44699720.0,5000000.0,Oct 28 2005,R,91.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36.0,6.8,76530.0
Saw III,80238724.0,163876815.0,47153811.0,10000000.0,Oct 27 2006,R,107.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25.0,6.3,60784.0
